,Area Code,Off Gas Grid (Thousands),Proportion Off Gas Grid,Number of households in fuel poverty,Proportion of households fuel poor (%),Mains gas only,Mains gas only (%),Tank or bottled gas only,Tank or bottled gas only (%),Gas only,Gas only (%),Electric only,Electric only (%),Oil only,Oil only (%),All Houses,All Houses (%),All Houses - Detached or Semi,All Houses - Detached or Semi (%),Houses - Detached,Houses - Detached (%),Houses - Semi-Detached,Houses - Semi-Detached (%),Houses - Terraced,Houses - Terraced (%),Non-House Accommodation,Non-House Accommodation (%),Tenure - Owned,Tenure - Owned (%),Tenure - Social,Tenure - Social (%),Tenure - Private Rent,Tenure - Private Rent (%),LA Name 2021,Proportion of homes needing loft insulation,Proportion of homes needing cavity wall insulation,Number of homes needing loft insulation,Number of homes needing cavity wall insulation,LA Name 2019,Income - Average score ,Employment - Average score ,Average Index of Multiple Deprivation (IMD) Decile,Max Index of Multiple Deprivation (IMD) Decile
26,E08000024,6.23,0.0474811371084521,17269.0,13.812658470841367,97605.0,79.8881949957848,405.0,0.3314862862895635,98010.0,80.21968128207436,5844.0,4.7832243384597755,144.0,0.1178617906807337,106758.0,87.37978506592894,71240.0,58.30884700066298,16201.0,13.260269936240046,55039.0,45.04857706442293,35518.0,29.070938065265967,15282.0,12.508082535992862,71476.0,58.50200937983418,32554.0,26.644949540420864,15827.0,12.95415667433314,Sunderland,0.161515631624752,0.164327315734274,20900.0,21300.0,Sunderland,0.192,0.161,3.827027027027027,1.0
27,E08000037,5.11,0.0541543026706231,12157.0,13.346434217460038,71620.0,80.47281430128427,309.0,0.3471949123023854,71929.0,80.82000921358667,5614.0,6.307936044225217,202.0,0.22696884234654321,71063.0,79.84696457263564,48824.0,54.85904336003775,10364.0,11.645074663760267,38460.0,43.21396869627749,22239.0,24.987921212597893,17870.0,20.078877290756076,51959.0,58.38155484893088,22334.0,25.094663984988596,12920.0,14.517017045135338,Gateshead,0.154130576192269,0.149731247218323,14600.0,14200.0,Gateshead,0.167,0.139,4.253968253968254,1.0
28,E06000006,2.25,0.0385208012326656,7097.0,12.428854135654367,47139.0,84.25050490607853,228.0,0.4074994191345999,47367.0,84.65800432521313,2512.0,4.4896427230969955,127.0,0.22698432557058854,49706.0,88.83686016585645,31031.0,55.46003717472119,11746.0,20.992993994852732,19285.0,34.467043179868455,18675.0,33.376822991135256,6119.0,10.936159565341722,34269.0,61.24823506282283,13619.0,24.340941180675948,7088.0,12.66822755625458,Halton,0.172920294332416,0.193366286580913,10200.0,11500.0,Halton,0.185,0.158,3.7974683544303796,1.0
29,E06000007,3.55,0.0377739944669079,9868.0,10.672377058931682,75969.0,83.91026773880003,471.0,0.5202350446231334,76440.0,84.43050278342317,4768.0,5.266413360431209,417.0,0.4605902624370416,79423.0,87.72241796352954,58781.0,64.92340317432267,22273.0,24.600448425540375,36508.0,40.322954748782294,20642.0,22.79901478920686,11034.0,12.187013331271606,62871.0,69.4415604497559,13842.0,15.288608098257086,12193.0,13.467273410059866,Warrington,0.199273656600982,0.196398547313202,18500.0,18300.0,Warrington,0.109,0.097,6.165354330708661,1.0
30,E06000008,2.0,0.0322164948453608,10978.0,18.295446970201986,47488.0,80.80863084096246,289.0,0.4917809617806215,47777.0,81.30041180274307,2609.0,4.43964196984651,315.0,0.5360242316986013,51795.0,88.13769866929857,26288.0,44.73334921553279,8945.0,15.221386516012661,17343.0,29.511962699520133,25507.0,43.40434945376578,6927.0,11.787428104686382,35839.0,60.986982047136905,11031.0,18.771377520633028,10290.0,17.510422870756404,Blackburn with Darwen,0.19340006705302,0.297092772642368,11900.0,18300.0,Blackburn with Darwen,0.212,0.162,3.318681318681319,1.0
31,E06000009,7.67,0.106527777777778,13404.0,20.242535904677048,50688.0,78.2294656912677,169.0,0.26082661974874216,50857.0,78.49029231101645,6062.0,9.355804549803993,57.0,0.0879711084359663,50860.0,78.49976848279056,31755.0,49.01219323969748,6207.0,9.580182126871431,25548.0,39.43201111282605,19105.0,29.487575243093072,13776.0,21.262540515511652,37448.0,57.80439614719683,6700.0,10.342059767843912,18843.0,29.085885403803406,Blackpool,0.223821301291164,0.40972560322499,15800.0,28900.0,Blackpool,0.247,0.209,2.4148936170212765,1.0
32,E06000049,19.9,0.109454925471646,20760.0,11.632532989661838,134465.0,76.90042091778378,3006.0,1.719128883195315,137471.0,78.61954980097909,9714.0,5.5554284668527245,7441.0,4.255501669945555,155707.0,89.04870293269892,120727.0,69.0436702200668,63928.0,36.560369675618794,56799.0,32.483300544448,34980.0,20.005032712632108,18369.0,10.505215720364186,127418.0,72.87108101616205,20243.0,11.577087169867433,23868.0,13.650245347547097,Cheshire East,0.185113148191997,0.164445421641917,33600.0,29800.0,Cheshire East,0.083,0.075,7.1068376068376065,1.0
33,E06000050,16.63,0.103016787462058,18705.0,11.807817589576548,120984.0,77.97571476449508,2256.0,1.454020469720797,123240.0,79.42973523421588,8763.0,5.647864085178788,5505.0,3.548041970661785,135678.0,87.44618319626699,103754.0,66.87076232952641,47457.0,30.586635386320864,56297.0,36.28412694320555,31924.0,20.575420866740572,18409.0,11.864832813426487,107901.0,69.54445260837619,22710.0,14.637070265671525,21291.0,13.722495069414903,Cheshire West and Chester,0.183735029420228,0.145662376836904,29800.0,23600.0,Cheshire West and Chester,0.108,0.095,6.231132075471698,1.0
34,E07000026,8.16,0.171212757028955,,,30792.0,70.0247879380529,826.0,1.8784253974029517,31618.0,71.90321333545585,1890.0,4.298092011006754,3416.0,7.768403338412208,40196.0,91.41063834625794,27388.0,62.28367407272645,12474.0,28.36740727264458,14914.0,33.91626680008187,12808.0,29.126964273531485,3584.0,8.150455961612808,30287.0,68.87792231419995,8313.0,18.90521240789593,4241.0,9.64477394705722,Allerdale,0.211486118671747,0.236935220468155,10200.0,11400.0,Allerdale,0.121,0.113,5.083333333333333,1.0
35,E07000027,1.0,0.0294811320754717,,,26044.0,83.31413947536788,120.0,0.3838771593090211,26164.0,83.6980166346769,952.0,3.0454254638515676,173.0,0.5534229046705055,27923.0,89.32787357241114,13736.0,43.942544547170414,4015.0,12.84430084135769,9721.0,31.098243705812727,14187.0,45.38532902524073,3052.0,9.763588086631051,22515.0,72.02725615022874,3451.0,11.040020474103459,4588.0,14.67737291660002,Barrow-in-Furness,0.213000048255561,0.370264923032379,7200.0,12400.0,Barrow-in-Furness,0.159,0.152,4.061224489795919,1.0
